age,country,self_employed,benefits,mental_health_consequence,phys_health_consequence
32,United States,No,Don't know,No,No
24,United States,No,Don't know,No,Maybe
26,United States,No,No,No,No
33,Canada,No,Don't know,Yes,No
44,United States,No,Yes,Yes,Maybe
26,Poland,No,Don't know,No,No
27,United Kingdom,No,Yes,No,No
26,France,No,No,Yes,No
35,Canada,No,Don't know,No,No
40,United States,No,Yes,Yes,Maybe
23,Australia,No,No,No,No
36,United States,No,Yes,Maybe,No
31,United States,No,Don't know,Maybe,No
34,United States,Yes,No,Maybe,No
28,France,No,No,Maybe,No
34,Canada,No,Don't know,No,No
23,United States,No,Yes,Maybe,No
38,United Kingdom,No,No,No,No
33,United States,No,Don't know,Maybe,No
19,United Kingdom,No,No,Yes,No
25,United States,No,Yes,No,No
31,United States,Yes,No,No,No
32,United States,No,No,Yes,No
28,Germany,No,Don't know,No,No
38,United States,No,Yes,No,No
23,United Kingdom,No,Yes,No,No
30,Canada,No,No,No,No
27,United States,Yes,Yes,Maybe,Maybe
33,United States,No,No,Yes,No
31,United States,No,Don't know,No,No
39,United Kingdom,Yes,No,Maybe,No
34,United States,No,Yes,Yes,Maybe
29,United States,No,Yes,Maybe,No
32,United States,No,Don't know,No,No
31,United States,No,Yes,No,No
40,United States,No,No,No,No
34,United States,No,Don't know,Maybe,No
18,Russia,No,Yes,No,No
25,Canada,No,Yes,Maybe,No
29,United States,No,Don't know,No,No
24,United States,No,Don't know,Maybe,Maybe
31,Mexico,No,Don't know,No,No
33,United States,No,No,Maybe,No
30,United States,No,No,No,No
26,Canada,No,No,Yes,No
44,United States,No,Yes,Maybe,Maybe
25,United States,No,Don't know,No,No
33,United States,No,Yes,No,No
29,United States,No,Yes,No,No
35,United States,No,Yes,No,No
35,United States,No,Don't know,No,No
28,Brazil,No,No,Maybe,No
34,United States,No,Yes,Maybe,No
32,United States,No,Yes,Maybe,No
22,United States,No,Yes,Yes,No
28,United States,No,Yes,No,No
45,United States,No,Yes,No,No
32,United States,No,Yes,Maybe,No
28,United States,No,Don't know,Maybe,No
26,United Kingdom,No,Don't know,No,No
21,United Kingdom,Yes,No,Yes,No
27,Canada,No,Yes,Maybe,No
18,United States,No,No,No,No
35,United States,No,Don't know,No,No
29,United States,No,Yes,Yes,Yes
25,United States,No,Don't know,No,No
33,United States,No,Don't know,No,No
36,United States,No,Yes,Maybe,No
27,Canada,No,Yes,Maybe,No
27,United States,No,Yes,Yes,No
27,United Kingdom,No,No,No,No
32,United States,No,Yes,Yes,No
31,United Kingdom,No,No,Maybe,Maybe
19,Slovenia,No,Don't know,Yes,Yes
33,United States,No,Yes,Maybe,No
32,United States,No,No,Maybe,No
27,United States,No,Don't know,No,No
38,Costa Rica,No,No,No,No
24,Canada,No,Don't know,No,No
39,United Kingdom,No,No,Yes,Maybe
28,United Kingdom,No,Don't know,No,No
39,United States,No,Yes,No,No
29,United States,No,Don't know,Maybe,No
22,Austria,No,Don't know,No,No
38,United States,No,Don't know,Maybe,No
37,United Kingdom,Yes,No,Yes,Yes
35,United States,No,Don't know,Yes,No
-29,United States,No,Yes,No,No
30,United States,No,Don't know,Maybe,Maybe
37,United States,No,Yes,Maybe,Maybe
24,United Kingdom,No,No,Maybe,Maybe
23,United States,No,No,Yes,Yes
30,Ireland,No,No,Yes,No
29,United States,No,Don't know,Maybe,No
19,Canada,Yes,Don't know,Maybe,No
32,United States,No,Don't know,No,No
28,Poland,No,No,No,No
36,United States,No,Don't know,No,No
37,United Kingdom,No,Yes,Yes,Maybe
25,United States,No,Don't know,Maybe,No
27,United States,No,Don't know,No,No
26,United States,No,Don't know,Yes,Maybe
27,United States,No,No,Maybe,No
25,United States,No,Don't know,Maybe,No
36,United Kingdom,No,Yes,Maybe,Maybe
25,United States,No,Yes,Yes,Yes
31,United States,No,Yes,No,No
26,United States,No,Don't know,Maybe,No
33,United States,Yes,No,No,No
27,United Kingdom,Yes,No,No,No
34,United States,No,No,Maybe,No
42,United States,No,No,Maybe,No
23,Ireland,Yes,No,Yes,No
24,United Kingdom,No,Don't know,Maybe,Maybe
26,United Kingdom,No,Yes,No,No
31,United Kingdom,Yes,Don't know,Maybe,No
22,India,No,Don't know,Yes,Maybe
23,United States,No,Don't know,Maybe,Maybe
34,Canada,No,Yes,No,No
31,United States,No,Don't know,Maybe,No
28,United Kingdom,No,No,No,No
32,United States,No,Yes,No,No
45,United States,No,Yes,No,No
33,United States,No,Don't know,No,No
29,Mexico,No,No,Maybe,Maybe
26,India,Yes,No,Maybe,Maybe
28,United Kingdom,No,Don't know,No,No
45,United States,No,Don't know,Yes,Yes
43,United States,No,Yes,Yes,Maybe
37,United States,No,Yes,Yes,No
24,United Kingdom,No,Don't know,Maybe,No
26,France,No,No,No,No
23,United Kingdom,No,Don't know,No,No
35,United States,No,Yes,Maybe,No
38,South Africa,Yes,No,Maybe,Maybe
28,United States,No,Yes,Maybe,Maybe
28,Russia,No,No,Yes,Maybe
35,United States,No,No,No,No
32,Germany,No,No,Yes,Yes
31,Italy,Yes,No,Maybe,Maybe
35,United States,No,Don't know,Maybe,Maybe
26,United States,No,Yes,No,No
27,United States,No,Yes,Maybe,Maybe
28,United Kingdom,No,Don't know,Maybe,Maybe
27,United States,No,Yes,No,No
34,United States,No,Yes,Maybe,No
41,United States,No,No,Maybe,Maybe
37,Ireland,No,No,Yes,No
34,Austria,No,Don't know,No,No
32,United Kingdom,No,Don't know,Yes,Maybe
21,Canada,No,No,No,No
30,United States,No,No,Maybe,No
24,United States,No,Don't know,No,No
26,Bulgaria,No,No,Yes,Maybe
40,United States,No,Yes,No,No
37,United Kingdom,No,No,Yes,Maybe
26,United Kingdom,Yes,No,Yes,No
32,United States,No,Don't know,Yes,Maybe
32,United States,No,Yes,No,No
27,United States,Yes,No,No,No
30,Germany,Yes,Yes,No,No
31,Canada,Yes,Yes,No,No
29,United States,No,Yes,Maybe,No
41,United States,No,Yes,Yes,No
34,United States,No,Yes,No,No
33,United Kingdom,No,Don't know,No,No
28,United States,No,Don't know,No,No
28,United States,No,No,Yes,No
23,United States,No,Don't know,No,No
24,United States,No,Don't know,No,No
32,United States,No,No,No,No
34,Australia,Yes,Don't know,Yes,Yes
24,United States,No,Yes,Maybe,No
26,United Kingdom,Yes,No,Maybe,No
36,United States,No,Yes,Maybe,No
41,United States,No,Yes,Maybe,Maybe
38,United Kingdom,No,Don't know,Yes,No
38,United States,No,Don't know,Maybe,Maybe
30,Netherlands,No,Don't know,No,No
25,United Kingdom,No,No,Yes,Maybe
37,Canada,No,Yes,Maybe,No
34,United Kingdom,No,No,No,No
37,United States,No,Yes,No,No
28,Canada,No,Yes,No,No
22,Sweden,No,Don't know,No,No
34,United States,No,No,Maybe,No
33,United States,No,Yes,No,No
25,South Africa,No,No,Maybe,No
27,United States,No,Yes,No,No
40,United States,No,Yes,Yes,Maybe
21,United States,No,Don't know,Maybe,No
29,United Kingdom,No,No,No,No
32,United States,No,No,Maybe,No
29,United States,No,Yes,Maybe,No
23,United States,No,Don't know,Maybe,No
28,United States,No,Yes,No,No
31,United States,No,Yes,No,No
27,United Kingdom,No,Don't know,Maybe,Maybe
24,United States,No,Don't know,No,No
29,Canada,No,No,Yes,No
23,United Kingdom,No,Don't know,Maybe,Maybe
42,United States,No,No,No,No
24,United Kingdom,No,No,Yes,No
25,Australia,No,No,Yes,Maybe
27,United States,No,Yes,Maybe,Maybe
27,Canada,No,No,Yes,Yes
30,United States,No,Yes,No,No
29,Poland,No,No,Maybe,No
43,Canada,Yes,No,Maybe,No
32,United States,No,No,No,No
41,United States,No,Yes,No,No
32,United Kingdom,Yes,Don't know,Maybe,Maybe
37,United States,No,Yes,Maybe,No
32,United States,No,No,No,No
30,Ireland,Yes,No,No,No
23,United States,No,Yes,No,No
30,United States,No,Yes,No,No
34,United Kingdom,No,No,Maybe,Maybe
38,United States,No,Yes,Yes,No
33,Canada,No,Yes,No,No
34,United States,No,Yes,Maybe,No
28,Colombia,No,No,Maybe,Maybe
28,United States,No,Yes,Maybe,No
23,United States,No,Don't know,Maybe,No
22,Australia,Yes,Don't know,Maybe,No
27,Portugal,No,No,Yes,No
18,United States,No,Don't know,Yes,No
35,United States,No,Yes,Yes,No
25,Canada,No,Don't know,No,No
27,United Kingdom,No,No,Maybe,Maybe
26,United States,No,Yes,Maybe,No
18,United States,No,Don't know,No,No
38,United States,No,No,No,Maybe
26,United States,No,Yes,Maybe,No
30,Switzerland,Yes,No,No,No
35,United States,No,Don't know,Yes,Maybe
45,United States,No,Yes,Maybe,No
32,United States,No,Yes,Maybe,No
56,United States,No,Yes,No,Maybe
24,United States,No,Don't know,Maybe,Maybe
30,United States,No,Yes,No,No
60,United States,No,Yes,No,No
33,United States,No,Yes,Yes,No
37,United States,No,Yes,No,No
23,United States,No,Yes,No,No
31,United States,No,Yes,No,No
26,United States,No,Yes,No,No
28,United States,No,Yes,Yes,No
37,United States,No,Yes,No,No
26,Canada,No,Yes,Maybe,No
30,United States,No,Yes,Maybe,No
26,United States,No,No,No,No
25,United States,No,Don't know,No,No
27,United States,No,Yes,Maybe,No
25,Canada,No,Don't know,Yes,Maybe
35,United States,No,Yes,No,No
36,United States,Yes,No,Maybe,No
26,United States,No,Yes,Yes,No
27,United States,No,Don't know,No,No
30,United States,No,Don't know,Maybe,Maybe
29,United States,No,Don't know,Maybe,No
25,United States,No,Yes,No,No
22,United States,No,Yes,Maybe,No
29,Latvia,No,No,Maybe,Maybe
41,United States,No,Yes,No,No
29,United States,No,Yes,Yes,No
32,United States,No,Yes,No,No
24,United States,No,Yes,Maybe,No
25,United States,No,Yes,Maybe,No
25,United States,No,Don't know,Maybe,No
30,United States,No,Yes,Maybe,Maybe
25,United States,No,Don't know,No,No
30,United States,Yes,No,Maybe,No
33,Germany,Yes,No,Yes,Yes
24,United States,No,Yes,No,No
25,Canada,No,Yes,Yes,Maybe
31,United States,No,Don't know,Maybe,No
45,Ireland,Yes,No,No,No
29,Romania,No,No,Maybe,Maybe
46,United States,No,Yes,No,No
30,United Kingdom,No,Don't know,Yes,Maybe
29,United States,Yes,Yes,Maybe,Maybe
24,United States,No,Yes,Yes,No
29,United States,No,Yes,No,No
35,United States,No,Don't know,No,No
33,United States,No,No,Yes,Maybe
27,United States,No,Don't know,Yes,No
36,United States,No,Don't know,Maybe,No
33,United Kingdom,No,Don't know,Yes,Maybe
25,United States,No,Yes,No,No
23,United States,No,Don't know,No,No
54,United States,No,Don't know,No,No
22,United States,No,Don't know,Maybe,No
25,United States,No,Yes,Maybe,No
29,Belgium,No,Don't know,Maybe,No
27,United States,No,Yes,No,No
30,United Kingdom,No,No,No,No
26,United States,No,Yes,Maybe,No
25,Sweden,No,Yes,No,No
31,United States,No,No,No,No
33,United States,No,Don't know,Maybe,No
34,United States,No,Yes,Maybe,Maybe
34,United States,No,No,Yes,Yes
29,United States,Yes,No,No,No
33,United States,No,No,Maybe,No
34,Germany,Yes,No,No,No
26,United States,Yes,No,Maybe,No
32,United States,No,Yes,No,No
329,United States,No,Yes,Maybe,No
28,United States,No,Don't know,Maybe,Maybe
35,United States,No,Yes,No,No
36,United States,No,No,No,No
21,United States,No,Yes,No,No
21,United Kingdom,No,Don't know,Yes,No
22,United States,No,Yes,No,No
41,United States,No,Yes,Maybe,No
55,United States,No,Yes,No,No
32,United States,No,Yes,Maybe,No
21,United States,No,Don't know,Yes,No
45,United States,No,Yes,Maybe,No
27,United States,No,Yes,Yes,Maybe
25,United States,No,Don't know,Maybe,No
34,United States,No,Yes,Maybe,Maybe
26,United States,No,Yes,Maybe,No
41,Canada,No,Yes,No,No
27,United States,No,Yes,No,No
31,United States,No,Yes,No,No
25,Germany,No,No,No,No
26,United States,No,Don't know,Yes,Yes
27,United States,No,Yes,Maybe,Maybe
42,New Zealand,No,Don't know,No,No
29,United States,Yes,Yes,Yes,No
25,United States,No,Don't know,Yes,No
33,Sweden,No,Yes,Maybe,No
99999999999,Zimbabwe,Yes,No,Yes,Yes
40,United States,No,Yes,Maybe,Maybe
31,United States,No,Don't know,Yes,No
26,Canada,No,Don't know,No,No
24,United States,No,No,Yes,Maybe
29,United States,No,Yes,Maybe,No
48,United Kingdom,No,Don't know,Maybe,Maybe
35,United Kingdom,No,No,Maybe,Maybe
32,United States,No,Don't know,Maybe,No
29,Canada,No,Don't know,Maybe,No
26,United States,No,Yes,Maybe,No
28,United States,No,Yes,Maybe,No
23,United States,No,Don't know,No,No
35,United States,No,Yes,Maybe,Maybe
29,Germany,No,Don't know,Maybe,No
26,United States,No,Yes,No,No
33,United States,No,Yes,Yes,Maybe
33,United States,No,Don't know,Yes,No
22,Brazil,Yes,Don't know,No,No
30,Spain,No,No,Yes,Maybe
33,United States,No,Yes,Yes,No
31,United States,No,Don't know,Yes,Maybe
21,United States,No,Don't know,No,No
31,United Kingdom,No,Don't know,Yes,Maybe
26,United States,No,Don't know,No,No
30,United States,No,Don't know,Maybe,No
30,Germany,No,Don't know,No,No
23,India,No,No,No,No
34,Finland,No,No,No,No
55,United States,No,No,Yes,Maybe
28,Germany,No,Yes,No,No
26,Uruguay,No,Don't know,No,No
28,New Zealand,No,Yes,No,No
32,United Kingdom,No,No,No,No
28,United States,No,Yes,Maybe,No
21,United States,No,Don't know,No,No
24,United States,No,No,Yes,No
26,United States,No,Yes,Maybe,No
23,United States,No,Yes,No,No
24,United States,No,Yes,No,No
28,Canada,Yes,Don't know,Maybe,No
24,United States,No,No,Yes,No
33,United States,Yes,No,Yes,Maybe
34,United States,No,Don't know,Maybe,No
27,United States,No,Don't know,Maybe,Maybe
28,United States,No,Don't know,No,No
26,United States,No,Don't know,No,No
20,Australia,No,Don't know,No,No
23,United States,No,Yes,Maybe,No
29,United States,No,Yes,No,No
26,United Kingdom,No,No,Maybe,Maybe
36,United States,No,Yes,Maybe,No
41,United States,No,Yes,Maybe,No
33,United States,No,Yes,No,No
23,Canada,No,Yes,No,No
39,United States,No,Yes,Yes,No
34,United States,No,Yes,Maybe,No
26,United States,No,Yes,Yes,Maybe
24,United States,No,Yes,No,No
37,Canada,No,Yes,Maybe,Maybe
43,United States,Yes,Yes,No,No
40,United States,No,Yes,Yes,Maybe
30,United States,No,Yes,Yes,No
34,United States,No,Don't know,Yes,Yes
27,United States,No,Don't know,Yes,No
36,United States,No,Don't know,No,No
27,Brazil,No,No,Maybe,No
35,Netherlands,No,Yes,Yes,No
32,United Kingdom,No,No,Maybe,No
37,United States,No,Yes,Maybe,Maybe
29,United Kingdom,No,Don't know,No,No
33,United States,No,Yes,Maybe,No
28,United States,No,No,Yes,Maybe
26,United States,No,Don't know,Maybe,Maybe
27,United States,No,Don't know,Yes,No
38,United Kingdom,Yes,No,Maybe,Maybe
57,United States,No,Yes,Maybe,No
28,United Kingdom,No,No,Yes,Maybe
26,France,No,No,Maybe,No
42,Netherlands,No,Yes,Yes,No
31,United States,No,Yes,No,No
58,United States,No,Yes,Maybe,No
29,United States,No,Don't know,Yes,No
39,United Kingdom,No,Yes,Yes,No
34,United States,No,Don't know,Maybe,No
57,United States,No,Yes,Maybe,Maybe
27,Germany,No,No,Yes,Maybe
23,Germany,Yes,Don't know,No,Maybe
18,Finland,No,Don't know,Yes,No
30,United States,No,Don't know,Maybe,No
23,United States,No,Don't know,No,No
43,United States,No,Yes,Yes,Maybe
18,United Kingdom,No,Don't know,Maybe,Maybe
29,United States,No,Yes,Maybe,No
48,United States,No,Don't know,Maybe,No
43,Germany,No,No,Maybe,No
28,United States,No,Don't know,Yes,Maybe
30,United States,Yes,No,No,No
26,Israel,No,No,Maybe,No
33,Italy,No,No,Maybe,Maybe
31,United States,No,Yes,No,No
30,United States,No,Don't know,No,No
27,Israel,No,No,Yes,No
24,United States,Yes,No,No,No
25,United States,No,Don't know,Maybe,No
23,United States,No,Yes,Maybe,No
36,United States,No,Yes,Yes,Maybe
25,United States,Yes,Don't know,Yes,No
54,United Kingdom,No,No,No,No
34,Netherlands,No,Don't know,No,No
38,United States,No,Yes,Maybe,Maybe
40,Ireland,Yes,No,Yes,Maybe
32,United Kingdom,No,No,No,No
25,Germany,No,Don't know,No,No
35,United States,No,No,Yes,Maybe
46,United States,No,Yes,Maybe,No
42,United States,No,Yes,Maybe,No
32,United Kingdom,No,Yes,No,No
47,United States,No,Yes,No,No
22,United States,No,Yes,No,No
33,United States,No,Yes,No,No
25,United States,No,No,Maybe,No
29,United States,No,Don't know,Maybe,No
39,United States,No,Yes,No,No
38,United States,No,Yes,Yes,No
43,United States,No,Don't know,Maybe,No
46,United States,No,Yes,No,No
38,United States,No,Yes,Maybe,No
33,Germany,No,Yes,Yes,Yes
34,United Kingdom,No,No,Maybe,Maybe
62,United States,No,Yes,Maybe,No
23,United States,No,Don't know,Maybe,Maybe
35,United States,No,No,Maybe,Maybe
25,Bosnia and Herzegovina,No,Don't know,Maybe,Yes
36,United States,Yes,Don't know,Maybe,No
41,United States,No,Yes,Maybe,Maybe
24,Austria,Yes,Yes,No,No
51,New Zealand,No,No,Yes,Yes
29,United States,No,Yes,No,No
31,Canada,Yes,Don't know,Maybe,Maybe
27,United Kingdom,No,No,No,No
31,Australia,No,Yes,No,No
27,Hungary,Yes,No,Yes,Maybe
23,Sweden,No,Don't know,No,No
21,Canada,No,Don't know,Yes,Maybe
27,Australia,No,No,Yes,No
39,United States,No,Yes,Yes,No
26,United States,No,Don't know,Maybe,No
27,United Kingdom,No,Don't know,Maybe,Maybe
22,United States,No,Yes,No,No
26,United States,No,Don't know,Maybe,No
31,United States,No,Yes,No,No
32,United Kingdom,No,Don't know,No,No
28,United States,No,Yes,Yes,Yes
28,United Kingdom,No,No,Yes,Yes
23,United Kingdom,No,Don't know,Maybe,No
30,United Kingdom,No,Don't know,No,No
36,United States,No,Yes,Yes,No
21,United States,No,Yes,No,No
30,Germany,No,No,Maybe,No
25,United States,No,Don't know,Maybe,No
32,New Zealand,No,No,No,No
29,Canada,No,No,Maybe,No
21,United Kingdom,No,No,Maybe,No
27,New Zealand,No,No,Maybe,Maybe
32,Canada,No,Don't know,Maybe,No
34,Australia,No,Yes,No,No
33,United States,No,Don't know,Yes,No
22,Netherlands,No,No,No,No
24,United States,No,Don't know,Maybe,Maybe
65,United States,Yes,No,Maybe,No
27,United States,No,Don't know,No,No
33,Australia,No,Don't know,No,No
36,United States,No,Don't know,No,No
40,Canada,No,No,No,No
28,United States,No,Yes,Maybe,No
39,United States,No,Yes,Yes,Maybe
32,United States,No,Yes,No,No
31,United States,No,Yes,Maybe,No
38,United States,No,Don't know,Maybe,Maybe
23,United States,No,No,Maybe,No
42,United States,No,Yes,Maybe,Maybe
27,United States,No,Don't know,No,No
26,United States,No,Yes,No,No
50,United States,No,No,No,No
37,United States,No,Don't know,No,No
23,United States,No,Don't know,No,No
33,United States,No,Don't know,No,No
29,Canada,Yes,Yes,Yes,No
34,United States,No,Yes,Maybe,No
41,United States,No,Yes,Maybe,Maybe
50,United States,No,Don't know,No,No
29,Canada,No,Yes,Maybe,No
35,United States,No,No,No,No
27,Singapore,No,No,Yes,No
40,United States,No,Don't know,Maybe,Maybe
27,Australia,No,No,Maybe,No
29,United States,No,Yes,Maybe,No
31,United States,No,No,Maybe,No
43,United States,No,No,No,No
34,United States,No,Yes,Maybe,No
29,United States,No,Don't know,Yes,No
19,Canada,No,No,Maybe,Maybe
41,United States,No,Yes,Maybe,No
29,United States,No,Yes,No,No
23,United States,No,Yes,No,No
24,United States,No,Yes,Yes,Maybe
31,United States,No,Don't know,Yes,No
43,United States,No,Don't know,No,No
31,United States,No,No,Yes,Yes
29,United States,No,Yes,No,No
35,United States,Yes,No,No,No
33,United States,No,Yes,Yes,Yes
30,United States,Yes,No,No,No
27,United States,No,Yes,Maybe,Maybe
32,United States,No,No,Maybe,Maybe
50,United States,No,Don't know,Yes,Maybe
24,United States,No,Don't know,Maybe,Yes
27,United States,No,Don't know,No,No
27,Australia,No,No,Yes,No
32,United States,No,No,No,No
42,United States,Yes,No,No,No
37,United States,No,Don't know,Maybe,No
30,Singapore,No,Don't know,Maybe,No
29,United States,No,Yes,Yes,Maybe
30,United States,Yes,No,No,No
35,United States,No,Yes,No,No
35,United States,No,Yes,Yes,No
38,Netherlands,No,No,Maybe,Maybe
22,United Kingdom,No,Yes,No,No
24,Germany,No,Don't know,No,No
22,Netherlands,Yes,Don't know,No,Maybe
31,United States,No,Yes,Maybe,No
23,United States,No,Yes,Yes,Maybe
31,United States,No,Don't know,No,No
28,United States,No,Yes,Maybe,No
37,Canada,No,Yes,Yes,Maybe
34,United States,Yes,No,No,No
32,Canada,No,No,Yes,Maybe
28,United States,No,Yes,Yes,No
24,United Kingdom,No,No,Maybe,No
56,United States,No,Yes,Yes,Maybe
31,Germany,No,No,No,No
34,United States,No,Yes,Maybe,No
35,Germany,No,Don't know,No,No
28,Germany,No,No,No,No
36,Poland,Yes,No,No,No
30,United Kingdom,No,No,No,No
35,United States,Yes,Yes,No,No
49,Japan,Yes,No,Yes,Yes
36,Germany,No,Yes,No,No
35,Germany,No,No,Maybe,No
29,Australia,No,Yes,Yes,No
57,United States,No,Yes,Yes,Maybe
31,Belgium,No,Yes,Maybe,No
37,Ireland,Yes,No,Yes,Maybe
25,Ireland,No,No,Maybe,No
30,Australia,No,No,No,No
26,Australia,No,No,No,No
22,Netherlands,No,No,No,No
39,United States,No,Don't know,No,No
29,United Kingdom,No,Don't know,Maybe,Maybe
54,United Kingdom,Yes,Don't know,No,No
34,Australia,No,Don't know,Yes,Maybe
32,United States,No,Yes,Maybe,No
25,Nigeria,No,No,Maybe,No
29,Poland,No,No,No,Maybe
32,Germany,Yes,No,No,No
30,United Kingdom,No,Yes,Maybe,No
31,Germany,No,Don't know,No,No
20,Switzerland,No,Yes,No,No
27,United Kingdom,No,Don't know,No,No
32,United States,No,Don't know,Maybe,Maybe
26,Ireland,Yes,No,Maybe,No
30,Italy,No,Don't know,No,No
30,Ireland,No,No,Maybe,Maybe
22,India,Yes,Don't know,Maybe,Maybe
24,Ireland,No,Don't know,No,No
26,Netherlands,No,No,Maybe,Maybe
43,France,No,Don't know,No,No
26,Russia,No,No,No,No
23,United States,No,Don't know,Maybe,No
26,Canada,No,Yes,No,No
26,Israel,No,Don't know,Maybe,No
35,Canada,No,Don't know,Maybe,Maybe
28,United States,No,Don't know,No,No
22,India,No,No,Maybe,Maybe
29,United States,No,Don't know,Yes,No
29,Germany,Yes,No,No,No
45,United States,No,Yes,No,No
33,Bulgaria,No,No,Maybe,No
38,United States,No,Yes,No,No
19,United States,No,Don't know,Maybe,Maybe
29,Canada,No,Yes,No,No
21,United Kingdom,No,No,Yes,Maybe
23,India,No,Don't know,Yes,Maybe
33,United States,No,Yes,No,No
49,United States,No,Yes,Maybe,Maybe
28,United States,No,Don't know,Maybe,No
27,United Kingdom,No,Don't know,No,No
23,Canada,No,Yes,Maybe,Maybe
29,Netherlands,No,No,No,No
30,Germany,No,Don't know,No,No
28,Canada,No,Yes,No,No
32,United Kingdom,No,No,Yes,No
32,United Kingdom,No,Yes,No,No
37,France,No,No,Maybe,Maybe
39,United States,No,No,Yes,Maybe
31,France,No,Don't know,Maybe,Maybe
29,United States,No,No,Maybe,Maybe
30,United States,No,Yes,Maybe,No
33,United States,Yes,No,No,No
37,United States,No,Yes,Maybe,No
23,United States,No,Yes,No,No
43,United States,No,Yes,Yes,No
32,United Kingdom,No,Don't know,Maybe,No
26,United States,No,Don't know,Yes,Yes
32,United States,Yes,Don't know,No,No
37,United States,No,Don't know,Yes,No
29,United States,No,Yes,No,No
34,United Kingdom,No,No,Maybe,Maybe
27,France,No,Don't know,No,No
30,United States,No,Don't know,No,No
29,United States,No,Yes,Maybe,No
32,United States,Yes,Yes,Yes,Maybe
-1726,United Kingdom,No,No,Yes,No
25,Germany,No,Yes,Maybe,Maybe
37,United States,Yes,Yes,No,No
29,Netherlands,No,No,No,No
27,United States,No,Yes,No,No
33,United Kingdom,No,Don't know,Maybe,No
30,Canada,No,Don't know,Yes,No
29,Canada,No,No,Maybe,Maybe
25,United States,No,Don't know,Yes,No
33,United States,No,No,No,No
31,South Africa,No,No,No,No
21,Germany,No,Don't know,Maybe,Maybe
30,Switzerland,No,Don't know,Yes,Yes
29,United States,No,Don't know,No,No
43,Croatia,Yes,No,Yes,No
37,United Kingdom,No,No,Yes,No
24,France,No,No,Maybe,No
29,United States,No,Don't know,No,No
31,United States,No,Yes,No,No
5,United States,No,Don't know,No,No
33,United Kingdom,Yes,No,No,No
43,United States,No,Yes,No,No
33,United Kingdom,No,Don't know,Maybe,No
27,United Kingdom,No,No,Maybe,No
36,United States,No,Don't know,Yes,Maybe
37,Australia,No,No,No,No
32,Belgium,No,No,Yes,Maybe
39,United Kingdom,No,No,No,No
31,United States,No,Yes,Maybe,No
36,United States,No,Yes,Maybe,Maybe
30,United States,Yes,Don't know,No,No
28,Canada,No,Yes,No,No
32,Italy,No,No,Maybe,No
35,United States,No,Yes,No,No
19,Canada,No,Don't know,No,No
33,Norway,No,Yes,No,No
42,Germany,No,Don't know,No,No
37,United States,No,Don't know,Maybe,No
40,Thailand,Yes,No,No,No
36,United States,No,Yes,No,No
29,United States,No,Don't know,Maybe,No
38,United States,No,Yes,Maybe,No
26,United States,No,Yes,Yes,Maybe
34,Germany,No,No,Maybe,Maybe
21,United States,No,No,Yes,No
31,Canada,Yes,No,No,No
37,United States,No,Yes,Maybe,Maybe
37,Ireland,No,No,No,No
38,Ireland,No,No,Yes,Yes
27,United States,No,Don't know,Yes,No
39,Netherlands,Yes,No,No,No
33,United States,Yes,Yes,Maybe,Yes
27,United Kingdom,No,Don't know,No,No
36,United States,No,Yes,Maybe,Maybe
28,United Kingdom,No,Don't know,No,No
39,United Kingdom,No,Don't know,Maybe,Maybe
